altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,14,5,Chicago,458,True,True,Chicago,2020-05-01 11:27:18,41.98974251144,Chicago,-87.6601406209,60602,Chicago,Chicago,Broadway & Thorndale Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,14,5,Chicago,459,True,True,Chicago,2020-05-01 04:51:23,41.98403669612,Chicago,-87.6523104689,60602,Chicago,Chicago,Lakefront Trail & Bryn Mawr Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,9,6,Chicago,460,True,True,Chicago,2020-05-01 11:12:10,41.983593,Chicago,-87.669154,60602,Chicago,Chicago,Clark St & Bryn Mawr Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,461,True,True,Chicago,2020-05-01 10:44:40,41.9840446107,Chicago,-87.6602738295,60602,Chicago,Chicago,Broadway & Ridge Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,9,Chicago,462,True,True,Chicago,2020-05-01 10:23:22,41.979762,Chicago,-87.67753,60602,Chicago,Chicago,Winchester (Ravenswood) Ave & Balmoral Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,14,Chicago,463,True,True,Chicago,2020-05-01 10:36:02,41.9779966544,Chicago,-87.6680471047,60602,Chicago,Chicago,Clark St & Berwyn Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,3,12,Chicago,464,True,True,Chicago,2020-05-01 11:25:37,41.97561480459,Chicago,-87.6794590387,60602,Chicago,Chicago,Damen Ave & Foster Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,14,Chicago,465,True,True,Chicago,2020-05-01 11:16:52,41.9716,Chicago,-87.650154,60602,Chicago,Chicago,Marine Dr & Ainslie St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,2,9,Chicago,466,True,True,Chicago,2020-05-01 08:12:32,42.01213227742,Chicago,-87.6829126443,60602,Chicago,Chicago,Ridge Blvd & Touhy Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,8,Chicago,467,True,True,Chicago,2020-05-01 10:46:11,42.0085943972,Chicago,-87.6904922389,60602,Chicago,Chicago,Western Ave & Lunt Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,3,Chicago,468,True,True,Chicago,2020-05-01 04:21:16,41.98366470886,Chicago,-87.6964225611,60602,Chicago,Chicago,Budlong Woods Library,IN_SERVICE,1,IN_SERVICE,False,11
0.0,12,3,Chicago,469,True,True,Chicago,2020-05-01 10:12:42,41.98039423475,Chicago,-87.7161149615,60602,Chicago,Chicago,St. Louis Ave & Balmoral Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,6,Chicago,470,True,True,Chicago,2020-05-01 09:55:04,41.975672,Chicago,-87.709261,60602,Chicago,Chicago,Kedzie Ave & Foster Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,10,5,Chicago,471,True,True,Chicago,2020-05-01 04:56:42,41.97563272521,Chicago,-87.7014194389,60602,Chicago,Chicago,Francisco Ave & Foster Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,11,4,Chicago,472,True,True,Chicago,2020-05-01 06:54:18,41.97491129677,Chicago,-87.6925025594,60602,Chicago,Chicago,Lincoln Ave & Winona St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,474,True,True,Chicago,2020-05-01 09:20:35,41.96835449363,Chicago,-87.7118306675,60602,Chicago,Chicago,Christiana Ave & Lawrence Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,475,True,True,Chicago,2020-05-01 04:46:20,41.968987,Chicago,-87.696027,60602,Chicago,Chicago,Washtenaw Ave & Lawrence Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,10,Chicago,476,True,True,Chicago,2020-05-01 10:53:47,41.96668636205,Chicago,-87.7080519806,60602,Chicago,Chicago,Kedzie Ave & Leland Ave,IN_SERVICE,1,IN_SERVICE,False,15
